"National
Dex","Pokemon
Name",Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
1,Bulbasaur,Starter,1,1,226,231,,,,,,,80,,,,,,,,,,,,,,68,,,,45,49,49,65,65,45,318,Grass,Poison,Overgrow,,Chlorophyll,2′04″,0.7,15.2,6.9,,,,1,,,64,45,Med Slow,50,Green,M (87.5%),20,Monster,Grass,Lv. 16
2,Ivysaur,Starter,2,2,227,232,,,,,,,81,,,,,,,,,,,,,,69,,,,60,62,63,80,80,60,405,Grass,Poison,Overgrow,,Chlorophyll,3′03″,1,28.7,13,,,,1,1,,142,45,Med Slow,50,Green,M (87.5%),20,Monster,Grass,Lv. 32
3,Venusaur,Starter,3,3,228,233,,,,,,,82,,,,,,,,,,,,,,70,,,,80,82,83,100,100,80,525,Grass,Poison,Overgrow,,Chlorophyll,6′07″,2,220.5,100,,,,2,1,,263,45,Med Slow,50,Green,M (87.5%),20,Monster,Grass,
3.1,Venusaur (Mega),"Starter, Mega Evolution",,,,,,,,,,,82,,,,,,,,,,,,,,,,,,80,100,123,122,120,80,625,Grass,Poison,Thick Fat,,,7′10″,2.4,342.8,155.5,,,,2,1,,313,45,Med Slow,50,Green,M (87.5%),20,Monster,Grass,
4,Charmander,Starter,4,4,229,234,,,,,,,83,,,,,,,,,,,,,378,,,,,39,52,43,60,50,65,309,Fire,,Blaze,,Solar Power,2′00″,0.6,18.7,8.5,,,,,,1,62,45,Med Slow,50,Red,M (87.5%),20,Monster,Dragon,Lv. 16
5,Charmeleon,Starter,5,5,230,235,,,,,,,84,,,,,,,,,,,,,379,,,,,58,64,58,80,65,80,405,Fire,,Blaze,,Solar Power,3′07″,1.1,41.9,19,,,,1,,1,142,45,Med Slow,50,Red,M (87.5%),20,Monster,Dragon,Lv. 36
6,Charizard,Starter,6,6,231,236,,,,,,,85,,,,,,,,,,,,,380,,,,,78,84,78,109,85,100,534,Fire,Flying,Blaze,,Solar Power,5′07″,1.7,199.5,90.5,,,,3,,,267,45,Med Slow,50,Red,M (87.5%),20,Monster,Dragon,
6.1,Charizard (Mega X),"Starter, Mega Evolution",,,,,,,,,,,85,,,,,,,,,,,,,,,,,,78,130,111,130,85,100,634,Fire,Dragon,Tough Claws,,,5′07″,1.7,243.6,110.5,,,,3,,,317,45,Med Slow,50,Black,M (87.5%),20,Monster,Dragon,
6.2,Charizard (Mega Y),"Starter, Mega Evolution",,,,,,,,,,,85,,,,,,,,,,,,,,,,,,78,104,78,159,115,100,634,Fire,Flying,Drought,,,5′07″,1.7,221.6,100.5,,,,3,,,317,45,Med Slow,50,Red,M (87.5%),20,Monster,Dragon,
7,Squirtle,Starter,7,7,232,237,,,,,,,86,,,,,,,,,,,,,,71,,,,44,48,65,60,54,43,314,Water,,Torrent,,Rain Dish,1′08″,0.5,19.8,9,,,1,,,,63,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,Lv. 16
